step	depth	row	col	cands	cs	val
498	24	9	1	1	46	1
499	25	9	4	1	45	9
500	16	9	8	1	28	7
501	17	7	8	2	42	8
502	18	4	8	1	27	9
503	19	9	3	2	46	8
504	20	9	4	2	46	6
505	21	9	9	1	27	9
506	23	9	1	1	46	5
507	26	7	3	1	44	1
508	20	9	4	1	46	9
509	21	9	9	1	27	4
510	24	2	1	1	45	8
511	26	3	1	1	42	1
512	28	9	2	1	49	3
513	19	9	4	1	46	8
514	20	9	5	2	46	1
515	21	8	3	1	30	8
516	24	9	2	1	50	3
517	20	9	5	1	46	5
518	21	9	6	1	42	1
519	22	7	3	1	45	1
520	17	7	8	1	42	9
521	18	4	8	1	27	8
522	19	9	3	2	46	9
523	20	1	2	1	44	9
524	21	2	2	2	45	2
525	22	9	4	2	46	6
526	23	7	9	1	30	4
527	22	9	4	1	46	8
528	23	7	9	1	31	8
529	21	2	2	1	45	4
530	22	9	9	1	27	4
531	23	7	9	1	32	8
532	25	9	2	1	51	3
533	19	8	3	1	30	9
534	20	1	2	1	44	9
535	22	2	6	1	27	9
536	23	2	2	2	45	2
537	24	1	1	2	43	1
538	25	9	3	1	46	8
539	24	1	1	1	43	3
540	25	1	3	1	42	5
541	23	2	2	1	45	4
542	24	1	1	2	43	1
543	24	1	1	1	44	2
544	25	1	3	1	43	6
545	14	6	8	1	42	6
546	15	5	8	1	42	9
547	17	7	8	2	42	7
548	18	9	8	1	28	8
549	21	5	7	2	47	4
550	22	4	7	1	27	7
551	23	9	4	2	46	7
552	24	9	5	2	46	1
553	25	9	6	1	42	4
554	24	9	5	1	46	4
555	25	9	6	1	43	1
556	23	9	4	1	46	9
557	24	7	9	1	32	9
558	21	5	7	1	47	7
559	22	4	7	1	27	4
560	25	9	4	2	46	7
561	26	9	6	1	44	4
562	28	8	1	1	44	2
563	25	9	4	1	46	9
564	26	6	5	1	27	9
565	17	7	8	1	42	8
566	18	9	8	1	28	7
567	19	7	9	2	33	4
568	20	9	9	1	27	9
569	21	9	4	2	46	6
570	22	9	2	1	52	4
571	24	9	1	1	46	5
572	21	9	4	1	46	8
573	22	8	2	2	46	2
574	23	9	2	1	52	1
575	22	8	2	1	46	3
576	19	7	9	1	33	9
577	20	9	9	1	27	4
578	21	9	3	2	47	9
579	22	9	4	1	46	8
580	21	8	3	1	30	9
581	22	9	4	1	47	9
582	24	9	3	1	47	8
583	28	9	2	1	53	3
584	13	9	7	1	43	4
585	14	6	8	2	42	3
586	15	5	8	1	42	6
587	16	7	8	2	42	7
588	17	6	7	2	42	1
589	18	7	6	1	44	6
590	19	5	7	2	47	2
591	20	4	7	1	27	7
592	21	7	2	2	44	8
593	22	7	1	2	44	4
594	23	1	2	1	44	9
595	22	7	1	1	44	9
596	23	7	9	1	33	2
